file_name,model_type,prompt_detail,temp,completion_id,compiled,passed_bench,correct,first CT,Levenshtein distance,area
REF.txt,manual,NA,NA,NA,1,1,1,"6F0FA9163F92C56027EA4D329455D7D7
",0,268.959744
completions_gemini/completion_L_t0.1_0.v,gemini,L,0.1,0,0,0,0,NA,NA,NA
completions_gemini/completion_L_t0.1_1.v,gemini,L,0.1,1,0,0,0,NA,NA,NA
completions_gemini/completion_L_t0.1_2.v,gemini,L,0.1,2,0,0,0,NA,NA,NA
completions_gemini/completion_L_t0.1_3.v,gemini,L,0.1,3,0,0,0,NA,NA,NA
completions_gemini/completion_L_t0.1_4.v,gemini,L,0.1,4,0,0,0,NA,NA,NA
completions_gemini/completion_L_t0.1_5.v,gemini,L,0.1,5,0,0,0,NA,NA,NA
completions_gemini/completion_L_t0.1_6.v,gemini,L,0.1,6,1,1,0,"6DAB3ABA7039F45345A0D69E2309A1B1
",2529,162.054144
completions_gemini/completion_L_t0.1_7.v,gemini,L,0.1,7,1,1,0,"F9A1B6355CE44967BB3BA4A54794C39D
",2538,191.102976
completions_gemini/completion_L_t0.1_8.v,gemini,L,0.1,8,0,0,0,NA,NA,NA
completions_gemini/completion_L_t0.1_9.v,gemini,L,0.1,9,1,1,0,"ACB4C028006E74CF4DB2F87F2E388DFB
",2524,120.324096
completions_gemini/completion_L_t0.1_10.v,gemini,L,0.1,10,0,0,0,NA,NA,NA
completions_gemini/completion_L_t0.1_11.v,gemini,L,0.1,11,0,0,0,NA,NA,NA
completions_gemini/completion_L_t0.1_12.v,gemini,L,0.1,12,0,0,0,NA,NA,NA
completions_gemini/completion_L_t0.1_13.v,gemini,L,0.1,13,0,0,0,NA,NA,NA
completions_gemini/completion_L_t0.1_14.v,gemini,L,0.1,14,0,0,0,NA,NA,NA
completions_gemini/completion_L_t0.1_15.v,gemini,L,0.1,15,0,0,0,NA,NA,NA
completions_gemini/completion_L_t0.1_16.v,gemini,L,0.1,16,0,0,0,NA,NA,NA
completions_gemini/completion_L_t0.1_17.v,gemini,L,0.1,17,0,0,0,NA,NA,NA
completions_gemini/completion_L_t0.1_18.v,gemini,L,0.1,18,0,0,0,NA,NA,NA
